target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
Chrisclark,0670120401,V,P0670120401OMS006SIMAGE1000.FTZ,18.15249272099098,0.09102623098732329,18.15249272099098,0.09102623098732329,0.51884954282932,0.06344758850748483,1245.2389027903682,152.2742124179636,14492.427880566567,54.86776244774293,4.9635657166216225,13247.188977776199,77.12532680335521,241.4384765625,522.8662109375,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.048128494221084,5.519662074073416,6.038511616902737,6.329136088360788,0.809474014287372,0.809474014287372,18.13,18.1774,19.782831
Gurzhij,0744490401,V,P0744490401OMS411SIMAGE2000.FTZ,17.70718570282537,0.06843477726118741,17.70718570282537,0.06843477726118741,0.49908274555875415,0.05022623833208445,1068.037075495734,107.48415003066073,7455.912569284439,60.94460547507346,5.637097938985077,6387.875493788705,57.71200554239019,104.814453125,455.5966796875,17.923,5.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.3783358891794726,0.46455464753313713,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Gurzhij_P0744490401OMS411SIMAGE2000.csv,1.0629670327386274,7.7609702260984275,8.448873885972285,8.980874404554836,1.2199041784564084,1.2199041784564084,18.26,18.3074,19.94768
2001 FV5,0744440301,V,P0744440301OMS402SIMAGE2000.FTZ,16.208967735109724,0.029947920700512286,16.208967735109724,0.029947920700512286,1.7947001507041749,0.11246787247828105,7501.846629943451,470.1157069592148,114994.07701539248,116.49154339665952,7.986827690566537,107492.23038544903,242.61388510672003,922.7470703125,1151.8681640625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1110069374505496,25.715844589820342,27.510544740524516,30.564406059766466,4.848561469946123,4.848561469946123,18.28,18.3274,19.886965
2001 FV5,0744440301,V,P0744440301OMS401SIMAGE2000.FTZ,15.810407683531615,0.02354216032861597,15.810407683531615,0.02354216032861597,2.0670859075015926,0.10946984206022112,8640.419093356657,457.5839398117243,112502.06826260686,114.31708532782162,7.701340237739895,103861.6491692502,232.13378148506698,908.5400390625,1138.685546875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.183245197894462,24.847284490251244,26.914370397752837,31.84629952749391,6.999015037242664,6.999015037242664,18.28,18.3274,19.886965
1991 SG1,0164561401,V,P0164561401OMS401SIMAGE1000.FTZ,17.583608975603735,0.10618304510587036,17.583608975603735,0.10618304510587036,0.5380357029248234,0.1169131812505424,699.4464138022704,151.98713562570512,13849.536902204156,57.39974279129364,5.280843523940117,13150.090488401886,79.93053072842652,229.0966796875,511.4765625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0778079485644843,10.115454221847605,10.653489924772428,11.482416120871372,1.3669618990237673,1.3669618990237673,18.29,18.3374,19.130653
1998 YU27,0745130201,V,P0745130201OMS006FSIMAGV000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hektor,0165972001,V,P0165972001OMS006FSIMAGV000.FTZ,14.982809933591458,0.012351565915815847,14.982809933591458,0.012351565915815847,12.881205307899862,0.13668687348606431,12881.205307899862,136.68687348606431,16549.67712001875,27.369075841940795,3.475987008425241,3668.4718121188885,40.24302989313099,134.037109375,422.220703125,17.923,11.0,6.000000000000001,0.0,1.0,1.0,1.0,0.0,0.9959302269209229,0.01221298580012312,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Hektor_P0165972001OMS006FSIMAGV000.csv,1.1264659028534612,4.335466687049595,17.1642484123613,19.33494058463166,14.999473897582064,14.999473897582064,15.1,15.1474,19.236603
1991 SC1,0780670101,V,P0780670101OMS006SIMAGE1000.FTZ,18.238144160050574,0.057550802882736445,18.238144160050574,0.057550802882736445,0.31419218355011735,0.03262046435518972,1175.0787664774389,122.00053668840954,9316.412119224668,96.46308147289135,7.454229762334302,8141.333352747229,68.48098180337247,84.3984375,450.7578125,17.923,4.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.1221880764964585,0.2598386914900934,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_1991_SC1_P0780670101OMS006SIMAGE1000.csv,1.0532480175653969,7.074688073911362,7.42727079601969,7.822758241829106,0.7480701679177448,0.7480701679177448,18.52,18.5674,20.266552
1991 SC1,0780670101,V,P0780670101OMS007SIMAGE1000.FTZ,18.024929548724003,0.09015679238511295,18.024929548724003,0.09015679238511295,0.4307202995814326,0.0693177898814294,1438.6058006019848,231.5214182039742,28077.597990244627,87.89565296551324,7.436820221072105,26638.992189642642,129.4680121084027,303.0751953125,579.751953125,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0570597853129702,7.975746164563666,8.4064664641451,8.886137635829902,0.9103914712662364,0.9103914712662364,18.52,18.5674,20.266552
2000 RD50,0723800701,V,P0723800701OMS006FSIMAGV000.FTZ,16.900650194506863,0.050577412209167526,16.900650194506863,0.050577412209167526,0.35423140786261864,0.09509184805906219,1416.9256314504746,380.36739223624875,69272.37495167181,32.85953311865199,3.8694758782156677,67855.44932022133,175.83843700127878,2065.015625,1435.19140625,17.923,25.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1276063018627318,16.963862330055335,17.318093737917952,19.527991635125794,2.564129305070459,2.564129305070459,18.52,18.5674,19.794107
Setsuko,0744490501,V,P0744490501OMS403SIMAGE2000.FTZ,17.936767027877135,0.12284207108099446,17.936767027877135,0.12284207108099446,0.25796829852289815,0.0988063540370735,459.1835713707587,175.87531018599083,17951.74698061496,54.779275734776576,5.14283263829318,17492.5634092442,91.9011565527786,319.328125,594.763671875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.072326592893245,9.827282814182135,10.085251112705034,10.814682964159799,0.9874001499776632,0.9874001499776632,18.59,18.6374,19.383263
Scottobin,0202460101,V,P0202460101OMS402SIMAGE1000.FTZ,18.281441920837818,0.11111319314634406,18.281441920837818,0.11111319314634406,0.5300317549376438,0.0694564780578293,742.0444569127012,97.23906928096102,6320.942700533196,29.25346313339096,3.425615042070453,5578.898243620495,47.30686119589521,190.708984375,476.0390625,17.923,13.0,5.999999999999999,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0418150727677693,3.984927316871782,4.514959071809426,4.703752413940637,0.718825097068855,0.718825097068855,18.72,18.7674,19.555307
1988 RQ5,0743950401,V,P0743950401OMS007FSIMAGV000.FTZ,17.1279566866771,0.042881272428050406,17.1279566866771,0.042881272428050406,0.9462584436531484,0.06985861099934508,4731.292218265742,349.2930549967254,61572.799056991935,124.56945993698434,9.006506200897244,56841.50683872619,192.39038013012382,456.3037109375,721.201171875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.09204723740828,11.36830136774524,12.314559811398388,13.448081021936638,2.079779654191398,2.079779654191398,18.75,18.7974,20.105297
